;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID31;ID32;ID33;ID34;ID35;ID36;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID77
ID33;0.983834;0.990860;0.992219;0.995270;0.987715;0.991641;0.990479;0.985209;0.973505;0.987502;0.992769;0.985470;0.920730;0.949305;0.954008;0.940529;0.944743;0.956263;0.997705;0.922430;0.923004;0.944270;0.980798;0.955709;0.864465;0.881936;0.898598;0.920510;0.973633;0.998470;0.000000;0.916934;0.916465;0.948760;0.970856;0.973770;0.969018;0.999008;0.922329;0.999837;0.944959;0.982456;0.995132;0.971832;0.952655;0.994098;0.975862;0.953986;0.995740;0.926868;0.914456;0.964107;0.949779;0.881370;0.954861;0.969831;0.981317;0.928932;0.950368;0.995777;0.931460;0.888917;0.856905;0.947108
ID34;0.982043;0.990406;0.991852;0.994890;0.987117;0.991194;0.989939;0.982938;0.974194;0.987581;0.992488;0.985090;0.946795;0.970490;0.968197;0.960753;0.965399;0.971282;0.998036;0.950849;0.948421;0.963318;0.994400;0.969993;0.875012;0.884302;0.910197;0.914682;0.971921;0.999412;0.916934;0.000000;0.941729;0.942939;0.974979;0.981586;0.980949;0.999789;0.950995;0.999876;0.998535;0.989365;0.997850;0.982167;0.972884;0.997313;0.981822;0.970736;0.997304;0.952953;0.944060;0.977918;0.965441;0.916400;0.996391;0.979987;0.988217;0.951765;0.962413;0.998409;0.949498;0.947079;0.936851;0.962338
ID35;0.984852;0.985598;0.989536;0.993848;0.983320;0.988122;0.990079;0.984752;0.959250;0.986070;0.992616;0.980089;0.920233;0.962153;0.957891;0.956326;0.946987;0.966107;0.998210;0.916297;0.925588;0.945399;0.994213;0.962412;0.899368;0.895549;0.931458;0.964678;0.976714;0.999692;0.916465;0.941729;0.000000;0.957096;0.960555;0.962134;0.968033;0.999265;0.911915;0.999557;0.996165;0.972689;0.997107;0.958408;0.935875;0.995905;0.962022;0.941147;0.996497;0.912925;0.936923;0.939501;0.909082;0.910115;0.990895;0.955854;0.969170;0.913042;0.924772;0.996870;0.900971;0.874601;0.862207;0.968674
ID36;0.988982;0.992601;0.993506;0.996068;0.990721;0.993225;0.993639;0.989069;0.983192;0.991681;0.994424;0.989300;0.965235;0.975310;0.973646;0.967547;0.967133;0.975172;0.998502;0.966925;0.959484;0.960595;0.990648;0.969572;0.932740;0.935315;0.946934;0.951933;0.983963;0.999593;0.948760;0.942939;0.957096;0.000000;0.953774;0.978463;0.979032;0.999733;0.965666;0.999834;0.998486;0.987414;0.997844;0.981252;0.970352;0.996007;0.975957;0.964120;0.993356;0.957141;0.956526;0.976603;0.969427;0.943128;0.996277;0.978414;0.987364;0.958947;0.969967;0.998189;0.960715;0.956803;0.952245;0.971351
ID46;0.990794;0.990246;0.991977;0.995471;0.988765;0.991476;0.993268;0.991696;0.979502;0.992150;0.994410;0.987903;0.971111;0.972794;0.970532;0.966692;0.953464;0.972345;0.998594;0.975846;0.967091;0.946292;0.991219;0.962130;0.964394;0.966375;0.974742;0.982313;0.989405;0.999690;0.970856;0.974979;0.960555;0.953774;0.000000;0.951645;0.957668;0.999412;0.971507;0.999563;0.995943;0.968777;0.996663;0.961156;0.946925;0.991935;0.944766;0.926344;0.980445;0.937578;0.959452;0.955713;0.950406;0.959278;0.993943;0.951401;0.971056;0.939988;0.955443;0.995034;0.947120;0.945041;0.947441;0.974296
ID47;0.990546;0.989869;0.991201;0.994658;0.988112;0.991017;0.993330;0.991334;0.978706;0.992103;0.994011;0.987087;0.964415;0.924066;0.929276;0.918156;0.872123;0.925117;0.998304;0.970160;0.945065;0.865900;0.926774;0.904143;0.966651;0.968353;0.978123;0.984215;0.989836;0.999536;0.973770;0.981586;0.962134;0.978463;0.951645;0.000000;0.843226;0.998913;0.965361;0.999453;0.925930;0.883788;0.947012;0.843335;0.852332;0.920058;0.930695;0.899508;0.977502;0.870665;0.913112;0.859735;0.909019;0.942255;0.943673;0.838401;0.863471;0.843276;0.899397;0.973337;0.898999;0.918455;0.929403;0.941909
ID48;0.990947;0.991420;0.992717;0.995607;0.989522;0.992421;0.993700;0.991691;0.982155;0.992457;0.994285;0.988924;0.962382;0.815610;0.879709;0.806826;0.741464;0.825346;0.998388;0.968927;0.921108;0.765527;0.818740;0.797942;0.963174;0.968102;0.975087;0.979421;0.990561;0.999618;0.969018;0.980949;0.968033;0.979032;0.957668;0.843226;0.000000;0.998865;0.966607;0.999708;0.893333;0.857199;0.906434;0.739594;0.766413;0.891245;0.944275;0.894118;0.982172;0.809395;0.800382;0.808155;0.902628;0.921406;0.911340;0.751859;0.798668;0.712159;0.861694;0.967805;0.870278;0.922211;0.936946;0.864697
ID49;0.999930;0.999891;0.999898;0.999949;0.999925;0.999903;0.999949;0.999929;0.999788;0.999952;0.999967;0.999874;0.999489;0.999422;0.999469;0.999409;0.999187;0.999453;0.999983;0.999365;0.999374;0.999216;0.999265;0.999359;0.999627;0.999572;0.999684;0.999814;0.999912;0.999992;0.999008;0.999789;0.999265;0.999733;0.999412;0.998913;0.998865;0.000000;0.999273;0.999836;0.996814;0.998707;0.999523;0.998443;0.998456;0.998542;0.998236;0.998854;0.999484;0.998815;0.999405;0.998509;0.997692;0.999340;0.996896;0.998443;0.998124;0.998865;0.999051;0.998886;0.998888;0.997598;0.997871;0.999666
ID50;0.984284;0.990683;0.992061;0.994786;0.987185;0.991207;0.990399;0.986196;0.969612;0.985449;0.991818;0.984883;0.891406;0.947245;0.943488;0.931791;0.931790;0.948263;0.997173;0.883323;0.901425;0.934309;0.992621;0.948163;0.910116;0.904560;0.925022;0.946613;0.980068;0.999560;0.922329;0.950995;0.911915;0.965666;0.971507;0.965361;0.966607;0.999273;0.000000;0.999743;0.997263;0.978919;0.997579;0.970187;0.946661;0.997334;0.972246;0.949250;0.998068;0.918925;0.896532;0.955405;0.940740;0.856261;0.995075;0.966579;0.980775;0.913750;0.945239;0.998058;0.920943;0.894652;0.865312;0.941069
ID51;0.999653;0.999746;0.999694;0.999662;0.999768;0.999651;0.999730;0.999771;0.999688;0.999813;0.999434;0.998357;0.999755;0.999862;0.999819;0.999833;0.999791;0.999856;0.999893;0.999820;0.999813;0.999740;0.999661;0.999805;0.999746;0.999697;0.999857;0.999940;0.999910;0.999983;0.999837;0.999876;0.999557;0.999834;0.999563;0.999453;0.999708;0.999836;0.999743;0.000000;0.999630;0.999686;0.999684;0.999631;0.999879;0.998935;0.999346;0.999584;0.999115;0.999679;0.999865;0.999744;0.999349;0.999837;0.999113;0.999473;0.999505;0.999705;0.999806;0.998883;0.999556;0.999552;0.999715;0.999944
